Kabir Restaurant,Ahmedabad,JB Tower- Opposite Doordarshan Kendra- Drive In Road- Gurukul- Ahmedabad,North Indian- Chinese- Continental- Desserts- Fast Food- Sandwich,600,No,Yes,No,No,3.8,Good,432
Puffizza,Ahmedabad,103- Kairos- Opposite Mahatma Gandhi Labour Institute- Drive In Road- Gurukul- Ahmedabad,Italian- Fast Food,700,No,Yes,No,No,4.3,Very Good,744
Cafe Alfresco,Ahmedabad,101- Dynamic House- Vijay Cross Road- Above HDFC Bank- Opposite Child Care Hospital- Navrangpura- Ahmedabad,Cafe- Beverages- Desserts- Pizza,700,No,Yes,No,No,4,Very Good,404
The Cafe Baraco,Ahmedabad,34- Shribhuvan Complex- Near Memnagar Fire Station- Navrangpura- Ahmedabad,Cafe- Italian,600,No,Yes,No,No,4.4,Very Good,317
Nini's Kitchen,Ahmedabad,12- First Floor- Camps Corner 2- Opposite Prahlad Nagar Garden- Prahlad Nagar- Ahmedabad,North Indian- Continental- Beverages- Italian- Burger- Healthy Food- Mediterranean,950,No,Yes,No,No,4.5,Excellent,1138
Yanki Sizzlers,Ahmedabad,4- Ground Floor- Binori Ambit- Next to Renault Showroom- Thaltej Circle- Thaltej- Ahmedabad,Continental- Italian- Chinese,1200,No,No,No,No,4.1,Very Good,1041
The Garden Cafe - The Fern,Ahmedabad,The Fern- Near Sola Overbridge- S G Highway- Sola- Ahmedabad,North Indian- Italian- Asian- South Indian,1200,No,No,No,No,4.1,Very Good,192
Mazzo,Ahmedabad,27- Sunshine Villa- Sunrise Park Society- Vastrapur- Ahmedabad,Cafe- American- Continental- Armenian- Fast Food,550,No,Yes,No,No,3.9,Good,166
Turquoise Villa,Ahmedabad,Ground Floor- Shanay - 1- Near AMA- IIM Road- Vastrapur- Ahmedabad,Continental,1200,No,No,No,No,4,Very Good,535
Aryan Family's Delight,Allahabad,Ground Floor- Vinayak City Centre- Sardar Patel Marg- Civil Lines- Allahabad,North Indian- South Indian- Fast Food,500,No,No,No,No,3.4,Average,57
Bean Here,Allahabad,Vinayak Pushp- 77 Elgin Road- Near Florista- Civil Lines- Allahabad,Cafe- Fast Food,350,No,No,No,No,3.3,Average,76
Bikanerwala,Allahabad,2A- JMD Bhawan- Strachey Road- Civil Lines- Allahabad,North Indian- Street Food- Fast Food,500,No,No,No,No,3.2,Average,51
Dewsis,Allahabad,2- MG Marg- Opposite Hanuman Mandir- Civil Lines- Allahabad,North Indian- Chinese,600,No,No,No,No,3.4,Average,99
Friends Forever,Allahabad,13/13- Sardar Patel Marg- Civil Lines- Allahabad,North Indian- Chinese,600,No,No,No,No,3.4,Average,83
Hotel Ravisha Continental,Allahabad,57 A- Purshottamdas Tandon Marg- Civil Lines- Allahabad,North Indian- South Indian- Chinese,600,No,No,No,No,3.4,Average,18
KFC,Allahabad,P Square Mall- Civil Lines- Allahabad,American- Fast Food,500,No,No,No,No,3.4,Average,58
McDonald's,Allahabad,Shop 4- 34-B- M G Marg- Civil Lines- Allahabad,Fast Food,400,No,No,No,No,3.3,Average,53
Pind Balluchi,Allahabad,5-A- Sardar Patel Marg- Civil Lines- Allahabad,North Indian- Mughlai,800,No,No,No,No,3.2,Average,6
Pizza Hut,Allahabad,31/31- Sardar Patel Marg- Civil Lines- Allahabad,Italian- Pizza,700,No,No,No,No,3.4,Average,35
Subway,Allahabad,207/53- Mahatma Gandhi Marg- Civil Lines- Allahabad,Fast Food- American- Salad- Healthy Food,400,No,No,No,No,3.4,Average,32
Tandoor Restaurant,Allahabad,17/33- Mahatama Gandhi Marg- Civil Lines- Allahabad,North Indian- Chinese,500,No,No,No,No,3.2,Average,151
The BrewMaster,Allahabad,Near Vishal Megamart- Civil Lines- Allahabad,North Indian- Chinese- Italian,750,No,No,No,No,3.3,Average,49
The Tamarind Tree,Allahabad,60 C- Thornhill Road- Civil Lines- Allahabad,South Indian- Chinese,500,No,No,No,No,3.4,Average,106
Cafe El Chico,Allahabad,24- Mahatma Gandhi- Civil Lines- Allahabad,Continental- Italian,1000,No,No,No,No,3.6,Good,59
Eat On,Allahabad,Palace Compound- Near Palace Cinema- MG Marg- Civil Lines- Allahabad,North Indian,200,No,No,No,No,3.7,Good,105
Hot Stuff,Allahabad,21 C- Lal Bhadhur Shastri Marg- Civil Lines- Allahabad,North Indian- Fast Food,500,No,No,No,No,3.5,Good,105
Paradise,Allahabad,19/35- MG Marg- Civil Lines- Allahabad,Desserts- Fast Food,500,No,No,No,No,3.6,Good,57
Sagar Ratna,Allahabad,3/3- Near Balson Crossing- Hashimpur Road- Tagore Town- Allahabad,South Indian- North Indian- Chinese- Continental,400,No,No,No,No,3.5,Good,134
Moti Mahal Delux,Allahabad,Second Floor- Vinayak City Center Mall- SP Marg- Civil Lines- Allahabad,Mughlai- North Indian- Chinese,800,No,No,No,No,3.3,Average,58
Makhan Fish and Chicken Corner,Amritsar,21-A- Near Madaan Hospital- Majitha Road- Basant Nagar- Amritsar,North Indian- Chinese,700,No,No,No,No,3.4,Average,345
Charming Chicken,Amritsar,Shop 3- Opposite Nari Nikaten- Majithia Road- Near Basant Nagar- Amritsar,North Indian,800,No,No,No,No,3.9,Good,151
Ahuja Milk Bhandar,Amritsar,Dhab Khatikan- Near Hindu College- Hathi Gate- Amritsar,Beverages,1000,No,No,No,No,4,Very Good,52
Crystal Restaurant,Amritsar,Crystal Chowk- Queens Road- INA Colony- Amritsar,North Indian- Mughlai,800,No,No,No,No,3.4,Average,122
Brijwasi Chat Bhandar,Amritsar,Crystal Chowk- Cooper Road- Near INA Colony,Street Food,900,No,No,No,No,3.6,Good,56
Bubby Fish & Chicken Corner,Amritsar,Near Crystal Chowk- Cooper Road- INA Colony- Amritsar,North Indian,900,No,No,No,No,3.5,Good,91
Bon Gateau,Amritsar,SCF 27- C Block Market- Ranjit Avenue- Amritsar,Cafe- Bakery- Fast Food,500,No,No,No,No,3.4,Average,26
The Yellow Chilli,Amritsar,108- GRD Towers- District Shopping Center- Ranjit Avenue- Amritsar,North Indian- Mughlai- Chinese,1200,No,No,No,No,3.4,Average,98
La Roma Pizzeria,Amritsar,SCO 6- District Shopping Complex- Ranjit Avenue- Amritsar,Fast Food- Italian,400,No,No,No,No,3.5,Good,111
Sakhis Watz Kukin,Amritsar,M 47- Green Avenue- opp Main Park- Amritsar,North Indian- Chinese,700,No,No,No,No,3.6,Good,51
The Kulcha Land,Amritsar,Opposite M.K Hotel- District Shopping Centre- Ranjit Avenue- Amritsar,North Indian- Street Food,200,No,No,No,No,3.9,Good,206
Shudh Restaurant,Amritsar,Opposite Gurudwara Saragarhi- Near Dharm Singh Market Chowk- Fuwara- Town Hall- Amritsar,North Indian- South Indian- Chinese- Fast Food,600,No,No,No,No,3.4,Average,44
Bade Bhai Ka Brothers' Dhaba,Amritsar,Near Amritsar Municipal Corporation- Town Hall- Amritsar,North Indian- Fast Food,500,No,No,No,No,3.7,Good,94
Bharawan Da Dhaba,Amritsar,Near Amritsar Municipal Corporation- Town Hall- Amritsar,North Indian- Fast Food,500,No,No,No,No,3.5,Good,461
Brothers Dhaba,Amritsar,Golden Temple Out Road- Opposite Amritsar Municipal Corporation- Town Hall- Amritsar,North Indian,500,No,No,No,No,3.8,Good,276
Brothers' Amritsari Dhaba,Amritsar,Phawara Chowk- Town Hall- Amritsar,North Indian,400,No,No,No,No,3.8,Good,71
Gurdas Ram Jalebi Wala,Amritsar,Near Golden Temple- Town Hall- Amritsar,Mithai,100,No,No,No,No,4.1,Very Good,104
Kesar Da Dhabha,Amritsar,Near Telephone Exchange- Chowk Passian- Shastri Market- Near Town Hall- Amritsar,North Indian,500,No,No,No,No,4.1,Very Good,878
Beera Chicken Corner,Amritsar,Opposite Bandari Hospital- Sehaj Avenue- Majitha Road- Near White Avenue- Amritsar,North Indian,500,No,No,No,No,3.8,Good,192
Surjit Food Plaza,Amritsar,Shop 4- Nehru Shopping Complex- Lawrence Road- White Avenue- Amritsar,North Indian,1000,No,No,No,No,3.5,Good,96
Kanha Sweets,Amritsar,Shop 1- Opposite Bijli Pehalwan Mandir- Lawrence Road- White Avenue- Amritsar,Fast Food,150,No,No,No,No,4.1,Very Good,140
Kream N Krunch,Aurangabad,2- Near Akashwani Circle- Mahesh Nagar- Jalna Road- Akashwani- Aurangabad,North Indian- Chinese- Continental- Italian,800,No,No,No,No,3.6,Good,240
Balbeer's Kitchen & Bar,Aurangabad,Shendra- Near Cambridge School- Jalna Road- Chicalthana- Aurangabad,Italian- Continental- Chinese- North Indian,850,No,No,No,No,3.3,Average,65
Angeethi Restaurant,Aurangabad,Seven Hill Flyover- Jalna Road- Vidya Nagar- CIDCO- Aurangabad,North Indian- Chinese,600,No,No,No,No,3.3,Average,63
Domino's Pizza,Aurangabad,8- Upper Ground Floor- City Pride Commercial Complex- Kali Bawdi- Jalna Road- CIDCO- Aurangabad,Pizza,700,No,No,No,No,3.1,Average,19
Hotel Laadli,Aurangabad,Goodwill Complex- Opposite Cidco Busstand- N-2- CIDCO- Aurangabad,North Indian- South Indian,350,No,No,No,No,3.4,Average,46
Indiana Veg Restaurant,Aurangabad,Plot 2- Near High Court- N-3- CIDCO- Aurangabad,South Indian- North Indian- Chinese- Fast Food,450,No,No,No,No,3.4,Average,75
Madhuban Restaurant - Welcome Hotel Rama International,Aurangabad,Welcome Hotel Rama International- Opposite High Court- CIDCO- Aurangabad,North Indian- Chinese- Continental- Italian- Mexican,1800,No,No,No,No,3.4,Average,94
Mauj Restaurant,Aurangabad,31- Kailash Arcade- Opposite Bank of Baroda- Connaught Place- CIDCO- Aurangabad,Italian- Fast Food- North Indian- Chinese,500,No,No,No,No,3.3,Average,47
